query,query_type,column,metric_type,value,passed,detail
Xeon_network_consumption,aggregate,group_coverage,jaccard,0.5714285714285714,True,"8/8 real groups matched, 14 synth groups total"
Xeon_network_consumption,aggregate,number_of_systems,median_relative_error,21.707070707070706,False,"median RE=21.7071, mean RE=295.0088, n_groups=8"
Xeon_network_consumption,aggregate,avg_bytes_received,median_relative_error,0.9999999999998463,False,"median RE=1.0000, mean RE=1.0000, n_groups=8"
Xeon_network_consumption,aggregate,avg_bytes_sent,median_relative_error,0.9999999999998368,False,"median RE=1.0000, mean RE=1.0000, n_groups=8"
avg_platform_power_c0_freq_temp_by_chassis,aggregate,group_coverage,jaccard,0.5714285714285714,True,"4/4 real groups matched, 7 synth groups total"
avg_platform_power_c0_freq_temp_by_chassis,aggregate,number_of_systems,median_relative_error,1161.439655172414,False,"median RE=1161.4397, mean RE=1189.4084, n_groups=4"
avg_platform_power_c0_freq_temp_by_chassis,aggregate,avg_psys_rap_watts,median_relative_error,0.9995210041379066,False,"median RE=0.9995, mean RE=0.9996, n_groups=4"
avg_platform_power_c0_freq_temp_by_chassis,aggregate,avg_pkg_c0,median_relative_error,0.999470853704973,False,"median RE=0.9995, mean RE=0.9995, n_groups=4"
avg_platform_power_c0_freq_temp_by_chassis,aggregate,avg_freq_mhz,median_relative_error,0.9999965258154596,False,"median RE=1.0000, mean RE=1.0000, n_groups=4"
avg_platform_power_c0_freq_temp_by_chassis,aggregate,avg_temp_centigrade,median_relative_error,0.9999366017948426,False,"median RE=0.9999, mean RE=0.9999, n_groups=4"
battery_power_on_geographic_summary,aggregate,group_coverage,jaccard,0.74,True,"37/37 real groups matched, 50 synth groups total"
battery_power_on_geographic_summary,aggregate,number_of_systems,median_relative_error,30.77310924369748,False,"median RE=30.7731, mean RE=32.8596, n_groups=37"
battery_power_on_geographic_summary,aggregate,avg_number_of_dc_powerons,median_relative_error,0.9704818593113193,False,"median RE=0.9705, mean RE=0.9714, n_groups=37"
battery_power_on_geographic_summary,aggregate,avg_duration,median_relative_error,0.9991667478231065,False,"median RE=0.9992, mean RE=0.9992, n_groups=37"
most_popular_browser_in_each_country_by_system_count,ranking_categorical,browser,categorical_accuracy,0.8235294117647058,True,42/51 countries correct (50 overlapping)
persona_web_cat_usage_analysis,aggregate,group_coverage,jaccard,1.0,True,"11/11 real groups matched, 11 synth groups total"
persona_web_cat_usage_analysis,aggregate,number_of_systems,median_relative_error,13.166447464562326,False,"median RE=13.1664, mean RE=14.6744, n_groups=11"
persona_web_cat_usage_analysis,aggregate,days,median_relative_error,0.8138802982994353,False,"median RE=0.8139, mean RE=1.0789, n_groups=11"
persona_web_cat_usage_analysis,aggregate,content_creation_photo_edit_creation,median_relative_error,26.672131147540984,False,"median RE=26.6721, mean RE=27.7331, n_groups=7"
persona_web_cat_usage_analysis,aggregate,content_creation_video_audio_edit_creation,median_relative_error,48.0,False,"median RE=48.0000, mean RE=64.9148, n_groups=7"
persona_web_cat_usage_analysis,aggregate,content_creation_web_design_development,median_relative_error,7.354651162790699,False,"median RE=7.3547, mean RE=7.9781, n_groups=7"
persona_web_cat_usage_analysis,aggregate,education,median_relative_error,1.615769712140175,False,"median RE=1.6158, mean RE=1.6460, n_groups=7"
